depmap_column_name	gene_symbol	ncbi_entrez_id
AKIRIN1 (79647)	AKIRIN1	79647
AKIRIN2 (55122)	AKIRIN2	55122
AKNA (80709)	AKNA	80709
AKNAD1 (254268)	AKNAD1	254268
AKR1A1 (10327)	AKR1A1	10327
AKR1B1 (231)	AKR1B1	231
AKR1B10 (57016)	AKR1B10	57016
AKR1B15 (441282)	AKR1B15	441282
AKR1C2 (1646)	AKR1C2	1646
AKR1C3 (8644)	AKR1C3	8644
AKR1C4 (1109)	AKR1C4	1109
AKR1D1 (6718)	AKR1D1	6718
AKR1E2 (83592)	AKR1E2	83592
AKR7A2 (8574)	AKR7A2	8574
AKR7A3 (22977)	AKR7A3	22977
AKT1 (207)	AKT1	207
AKT1S1 (84335)	AKT1S1	84335
AKT2 (208)	AKT2	208
AKT3 (10000)	AKT3	10000
AKTIP (64400)	AKTIP	64400
ALAD (210)	ALAD	210
ALAS1 (211)	ALAS1	211
ALAS2 (212)	ALAS2	212
ALB (213)	ALB	213
ALCAM (214)	ALCAM	214
ALDH16A1 (126133)	ALDH16A1	126133
ALDH18A1 (5832)	ALDH18A1	5832
ALDH1A1 (216)	ALDH1A1	216
ALDH1A2 (8854)	ALDH1A2	8854
ALDH1A3 (220)	ALDH1A3	220
ALDH1B1 (219)	ALDH1B1	219
ALDH1L1 (10840)	ALDH1L1	10840
ALDH1L2 (160428)	ALDH1L2	160428
ALDH2 (217)	ALDH2	217
ALDH3A1 (218)	ALDH3A1	218
ALDH3A2 (224)	ALDH3A2	224
ALDH3B2 (222)	ALDH3B2	222
ALDH4A1 (8659)	ALDH4A1	8659
ALDH5A1 (7915)	ALDH5A1	7915
ALDH6A1 (4329)	ALDH6A1	4329
ALDH7A1 (501)	ALDH7A1	501
ALDH8A1 (64577)	ALDH8A1	64577
ALDH9A1 (223)	ALDH9A1	223
ALDOA (226)	ALDOA	226
ALDOB (229)	ALDOB	229
ALDOC (230)	ALDOC	230
ALG1 (56052)	ALG1	56052
ALG10 (84920)	ALG10	84920
ALG10B (144245)	ALG10B	144245
ALG11 (440138)	ALG11	440138
ALG12 (79087)	ALG12	79087
ALG13 (79868)	ALG13	79868
ALG14 (199857)	ALG14	199857
ALG1L (200810)	ALG1L	200810
ALG2 (85365)	ALG2	85365
ALG3 (10195)	ALG3	10195
ALG5 (29880)	ALG5	29880
ALG6 (29929)	ALG6	29929
ALG8 (79053)	ALG8	79053
ALG9 (79796)	ALG9	79796
ALK (238)	ALK	238
